starttime: 1750259296.4757369
actual_delay_all         predict_delay_all     actual_df             predict_df         tempf_1               tempf_2                        actual_de             predict_de         tempe_1               tempe_2               force ppoint           totaltime           predicttime
2.5999093055725098   -9241507279.648499    5.9604644775390625e-05 0.0                      0.0                      0.0                      2.599838972091675      -9241507279.648499     0.0                    9241507279.648499      False  0    4.76837158203125e-07   0.04807639122009277    
0.28002405166625977  -9241507279.648499    3.24249267578125e-05   0.0                      0.0                      0.0                      0.27997732162475586    -9241507279.648499     0.0                    9241507279.648499      False  0    2.71403431892395       0.02361774444580078    
0.2757837772369385   -8895433144.61374     0.23561763763427734    -8849831089.946674       0.0                      8849831089.946674        0.04014873504638672    -45602054.66706601     0.0001010894775390625  45602054.6671671       False  18   0.325969934463501      0.019780635833740234   
0.35036230087280273  -48754240.82163913    0.3475661277770996     -48743157.217852615      0.25123822689056663      48743157.46909084        0.0027816295623779297  -11083.60378651272     0.0013298001140356003  11083.605116312834     True   21   0.31495165824890137    0.004126787185668945   
0.2983243465423584   -16239434.407460818   0.10445213317871094    -3139283.737759963       0.028178215026856357     3139283.765938178        0.19385361671447754    -13100150.669700855    5.02576236172498       13100155.695463218     False  2    0.37145543098449707    0.015189647674560547   
0.349043607711792    -1635.7468023100034   0.16506624221801758    -3.0175554877061743      0.3025424126487306       3.320097900354905        0.18395543098449707    -1632.7292468222972    2.371052880354534      1635.1002997026517     False  6    0.33124351501464844    0.01143789291381836    
0.2859039306640625   -4.035438539953177    0.2305607795715332     -2.3105611714526852      0.21590058439382875      2.526461755846514        0.05532431602478027    -1.7248773685004921    0.05458185175868411    1.7794592202591761     False  13   0.3805091381072998     0.013785362243652344   
0.2694852352142334   -2.3343444654692758   0.2309868335723877     -1.0809577231585328      0.23169959322866984      1.3126573163872026       0.03848123550415039    -1.253386742310743     0.041100514793294844   1.2944872571040378     True   19   0.3169713020324707     0.009423017501831055   
0.254025936126709    -1.633230939105589    0.11191177368164062    -0.7757194749919265      0.1768612792072861       0.9525807541992126       0.14209747314453125    -0.8575114641136626    0.18394246263050673    1.0414539267441694     False  6    0.2974989414215088     0.007261991500854492   
0.3369269371032715   -1.5448638156208676   0.2830333709716797     -0.6999976043509182      0.22759776588130332      0.9275953702322215       0.05387616157531738    -0.8448662112699494    0.05461651909079819    0.8994827303607477     False  13   0.2824900150299072     0.016057729721069336   
0.3016681671142578   -1.4314199312720708   0.2901570796966553     -0.8330105671423695      0.3426908889375164       1.175701456079886        0.011494636535644531   -0.5984093641297012    0.007267254389292808   0.605676618518994      False  20   0.37197208404541016    0.013109445571899414   
0.2865884304046631   -1.346408303090348    0.01855158805847168    -0.47678570373613843     0.018965737797571467     0.4957514415337099       0.2680177688598633     -0.8696225993542096    0.22248378684445105    1.0921063861986606     True   1    0.3334977626800537     0.010073661804199219   
0.28449583053588867  -1.3298149684006368   0.24775338172912598    -0.5604300434845555      0.23148410126321045      0.791914144747766        0.03672504425048828    -0.7693849249160812    0.040502252304258655   0.8098871772203399     False  19   0.31557226181030273    0.016152620315551758   
0.2721731662750244   -1.1050594219499539   0.14191770553588867    -0.5149380154313922      0.16216970997053223      0.6771077254019244       0.1302337646484375     -0.5901214065185618    0.14551816280795918    0.735639569326521      False  7    0.31969642639160156    0.008065938949584961   
0.27495718002319336  -1.035631710277783    0.2749462127685547     -1.035631710277783       0.3472469182809726       1.3828786285587555       0                      0.0                    0.0                    0.0                    False  22   0.2984762191772461     0.009206771850585938   
0.30695462226867676  -1.033604062487942    0.272385835647583      -0.47945660255713773     0.24964755384654103      0.7291041564036788       0.034554243087768555   -0.5541474599308043    0.03961092660694211    0.5937583865377464     True   17   0.3028526306152344     0.007195711135864258   
0.2628607749938965   -0.995110519041591    0.21149826049804688    -0.3985237430374824      0.2537433290479324       0.6522670720854148       0.05134391784667969    -0.5965867760041086    0.05137611754980794    0.6479628935539166     False  13   0.3315751552581787     0.01434636116027832    
0.3163604736328125   -0.9530484399985698   0.30802178382873535    -0.4442433542122777      0.30984786191227165      0.7540912161245493       0.00832223892211914    -0.5088050857862921    0.007409439721739379   0.5162145255080315     False  20   0.29350948333740234    0.020920991897583008   
0.29189538955688477  -0.94081467209495     0.25880002975463867    -0.36347976944006366     0.24124018927465174      0.6047199587147154       0.03307461738586426    -0.5773349026548863    0.038220986625789946   0.6155558892806763     False  19   0.35712504386901855    0.014726877212524414   
0.3382742404937744   -0.8785888271540077   0.15117669105529785    -0.4236784383173527      0.13875717992502962      0.5624356182423823       0.18708062171936035    -0.4549103888366549    0.1583488984240857     0.6132592872607406     True   6    0.32518887519836426    0.009154081344604492   
0.34848499298095703  -0.8545329486570754   0.008029460906982422   -0.3496409935519746      0.02390221712268491      0.3735432106746595       0.3404362201690674     -0.5048919551051008    0.24523038186602514    0.750122336971126      False  1    0.3671391010284424     0.016139507293701172   
0.37909936904907227  -0.792851138803254    0.3131825923919678     -0.29430054647438825     0.24255646675339565      0.5368570132277839       0.06589436531066895    -0.49855059232886567   0.04947503498895614    0.5480256273178218     False  13   0.3819539546966553     0.020538330078125      
0.28872227668762207  -0.7637165927662386   0.248488187789917      -0.27164937383838766     0.2454830787479269       0.5171324525863146       0.040216922760009766   -0.49206721892785094   0.03773736357828957    0.5298045825061405     False  19   0.4168531894683838     0.020276784896850586   
0.26456570625305176  -0.7453560103427056   0.2573258876800537     -0.2918745318769963      0.3092500533795074       0.6011245852565037       0.0072209835052490234  -0.4534814784657093    0.007408902354780768   0.46089038082049005    True   20   0.32474851608276367    0.013874053955078125   
0.2853870391845703   -0.7388425094284135   4.076957702636719e-05  0.0                      0.0                      0.0                      0.2853281497955322     -0.7388425094284135    0.2889379976262461     1.0277805070546595     False  0    0.2983865737915039     0.008326053619384766   
0.302426815032959    -0.7122991509488433   0.26459479331970215    -0.2943408239122295      0.25713313324927833      0.5514739571615078       0.03781390190124512    -0.41795832703661384   0.03797232932705784    0.4559306563636717     False  17   0.3110232353210449     0.012516975402832031   
0.31780147552490234  -0.7047089726255001   0.1267685890197754     -0.34218930363359923     0.1421186652189748       0.48430796885257404      0.19101476669311523    -0.3625196689919009    0.16490112220224706    0.527420791194148      False  6    0.33455920219421387    0.011642932891845703   
