real_latency          partitionpoint             step            real_latencyclient       real_latencytrans      real_latencyedge      predicttime     time
0.47360992431640625    0                      0                      1.7404556274414062e-05 0.37926554679870605    0.09432077407836914    0.0023703575134277344  0.45502495765686035
0.0927116870880127     7                      1                      0.03519701957702637    0.005285024642944336   0.0522150993347168     0.00021004676818847656 0.558326005935669
0.08839941024780273    7                      2                      0.030323028564453125   0.003854036331176758   0.05420994758605957    0.00021457672119140625 0.6580555438995361
0.08356881141662598    7                      3                      0.02883148193359375    0.004881620407104492   0.04984259605407715    0.00020122528076171875 0.7529594898223877
0.09794402122497559    7                      4                      0.030556917190551758   0.0051043033599853516  0.0622715950012207     0.00026345252990722656 0.8638155460357666
0.0893089771270752     7                      5                      0.03477287292480469    0.0031919479370117188  0.05132913589477539    0.0001747608184814453  0.9629337787628174
0.08200669288635254    7                      6                      0.029393672943115234   0.0032231807708740234  0.0493776798248291     0.00011205673217773438 1.0561902523040771
0.11314535140991211    11                     7                      0.06293368339538574    0.003124237060546875   0.047074317932128906   0.0002033710479736328  1.1803138256072998
0.1569979190826416     7                      8                      0.039246320724487305   0.007109880447387695   0.1106259822845459     0.00021314620971679688 1.3596086502075195
0.09920668601989746    7                      9                      0.036916494369506836   0.00458073616027832    0.05768322944641113    0.0002624988555908203  1.4639723300933838
0.1033167839050293     7                      10                     0.03562521934509277    0.004943132400512695   0.06271982192993164    0.00019311904907226562 1.577556848526001
0.08769416809082031    7                      11                     0.03537487983703613    0.004354715347290039   0.047951459884643555   0.0001747608184814453  1.6750881671905518
0.0794684886932373     7                      12                     0.02736639976501465    0.004990577697753906   0.047098398208618164   0.00019884109497070312 1.766923427581787
0.10399341583251953    7                      13                     0.03455042839050293    0.0030760765075683594  0.06635570526123047    0.00020813941955566406 1.883291244506836
0.09171819686889648    7                      14                     0.02737140655517578    0.005327701568603516   0.059006690979003906   0.00018978118896484375 1.9874598979949951
0.07897019386291504    7                      15                     0.02697587013244629    0.003360748291015625   0.048621177673339844   0.0001690387725830078  2.0777597427368164
0.08476018905639648    7                      16                     0.02757573127746582    0.00466156005859375    0.052509307861328125   0.00021886825561523438 2.1753883361816406
0.09656333923339844    7                      17                     0.0277554988861084     0.0044023990631103516  0.06439352035522461    0.00010752677917480469 2.28528094291687
0.09905719757080078    3                      18                     0.009447097778320312   0.008419513702392578   0.08117818832397461    0.00023889541625976562 2.3952789306640625
0.1078488826751709     0                      19                     1.71661376953125e-05   0.0018115043640136719  0.10600924491882324    0.00016999244689941406 2.5151398181915283
0.10709929466247559    18                     20                     0.10043668746948242    0.0021164417266845703  0.004534482955932617   0.00012040138244628906 2.696455478668213
0.11060500144958496    4                      21                     0.01994490623474121    0.005549907684326172   0.0850985050201416     0.00032591819763183594 2.7568471431732178
0.09601712226867676    7                      22                     0.029470443725585938   0.003662586212158203   0.06287169456481934    0.00014281272888183594 2.8667399883270264
0.09561848640441895    7                      23                     0.029883623123168945   0.0032112598419189453  0.06251239776611328    0.00013017654418945312 2.9759061336517334
0.09726405143737793    7                      24                     0.03695988655090332    0.0052106380462646484  0.05505943298339844    0.0001316070556640625  3.0859973430633545
0.11008596420288086    7                      25                     0.039015769958496094   0.00487208366394043    0.06618618965148926    0.0001983642578125     3.211087226867676
0.11312317848205566    7                      26                     0.04665088653564453    0.006174802780151367   0.06028580665588379    0.00010037422180175781 3.3433456420898438
0.1063070297241211     9                      27                     0.046300411224365234   0.005035877227783203   0.05495905876159668    0.00014162063598632812 3.4643728733062744
0.1101541519165039     7                      28                     0.03671765327453613    0.004971981048583984   0.06845235824584961    0.0001342296600341797  3.604431629180908
0.1190483570098877     7                      29                     0.04148602485656738    0.0046367645263671875  0.07291364669799805    0.00034689903259277344 3.721741199493408
0.09607625007629395    7                      30                     0.037656545639038086   0.004736185073852539   0.053670644760131836   8.678436279296875e-05  3.8338849544525146
0.10309028625488281    8                      31                     0.03788495063781738    0.004622459411621094   0.060571908950805664   0.00015234947204589844 3.967815399169922
0.10664510726928711    7                      32                     0.0393521785736084     0.005055665969848633   0.0622255802154541     0.00015926361083984375 4.07074236869812
