actual_delay_all     ppoint    actual_df            actual_de             totaltime_lastframe             
0.47360992431640625  0    1.7404556274414062e-05 0.4735863208770752     1.9073486328125e-06    
0.0927116870880127   7    0.03519701957702637    0.05750012397766113    0.48332738876342773    
0.08839941024780273  7    0.030323028564453125   0.05806398391723633    0.1038358211517334     
0.08356881141662598  7    0.02883148193359375    0.05472421646118164    0.09976744651794434    
0.09794402122497559  7    0.030556917190551758   0.06737589836120605    0.0949699878692627     
0.0893089771270752   7    0.03477287292480469    0.05452108383178711    0.11036038398742676    
0.08200669288635254  7    0.029393672943115234   0.052600860595703125   0.09969568252563477    
0.11314535140991211  11   0.06293368339538574    0.05019855499267578    0.09280776977539062    
0.1569979190826416   7    0.039246320724487305   0.1177358627319336     0.12450003623962402    
0.09920668601989746  7    0.036916494369506836   0.06226396560668945    0.17214059829711914    
0.1033167839050293   7    0.03562521934509277    0.06766295433044434    0.11144185066223145    
0.08769416809082031  7    0.03537487983703613    0.052306175231933594   0.11380386352539062    
0.0794684886932373   7    0.02736639976501465    0.05208897590637207    0.0972890853881836     
0.10399341583251953  7    0.03455042839050293    0.06943178176879883    0.09189152717590332    
0.09171819686889648  7    0.02737140655517578    0.06433439254760742    0.11644816398620605    
0.07897019386291504  7    0.02697587013244629    0.05198192596435547    0.10357475280761719    
0.08476018905639648  7    0.02757573127746582    0.057170867919921875   0.09087681770324707    
0.09656333923339844  7    0.0277554988861084     0.06879591941833496    0.09750890731811523    
0.09905719757080078  3    0.009447097778320312   0.08959770202636719    0.10923027992248535    
0.1078488826751709   0    1.71661376953125e-05   0.10782074928283691    0.11060214042663574    
0.10709929466247559  18   0.10043668746948242    0.0066509246826171875  0.11956548690795898    
0.11060500144958496  4    0.01994490623474121    0.09064841270446777    0.1192014217376709     
0.09601712226867676  7    0.029470443725585938   0.06653428077697754    0.12161898612976074    
0.09561848640441895  7    0.029883623123168945   0.06572365760803223    0.10950255393981934    
0.09726405143737793  7    0.03695988655090332    0.060270071029663086   0.10904574394226074    
0.11008596420288086  7    0.039015769958496094   0.07105827331542969    0.10977005958557129    
0.11312317848205566  7    0.04665088653564453    0.06646060943603516    0.12596487998962402    
0.1063070297241211   9    0.046300411224365234   0.05999493598937988    0.1317119598388672     
0.1101541519165039   7    0.03671765327453613    0.0734243392944336     0.12101268768310547    
0.1190483570098877   7    0.04148602485656738    0.07755041122436523    0.12387704849243164    
0.09607625007629395  7    0.037656545639038086   0.058406829833984375   0.13380765914916992    
0.10309028625488281  8    0.03788495063781738    0.06519436836242676    0.11220312118530273    
0.10664510726928711  7    0.0393521785736084     0.06728124618530273    0.1185159683227539     
0.09965777397155762  7    0.036475419998168945   0.06317138671875       0.11781454086303711    
0.09726953506469727  7    0.03542613983154297    0.06183147430419922    0.11240577697753906    
0.09835505485534668  7    0.0342254638671875     0.06411862373352051    0.10902810096740723    
0.08117246627807617  7    0.02970266342163086    0.05145692825317383    0.10993432998657227    
0.08408784866333008  7    0.028336524963378906   0.055737972259521484   0.09502816200256348    
0.10743141174316406  7    0.04320669174194336    0.06421208381652832    0.09832262992858887    
0.11455464363098145  7    0.037680864334106445   0.07686066627502441    0.1219642162322998     
0.09283733367919922  7    0.0360105037689209     0.05681490898132324    0.12653899192810059    
0.10364341735839844  7    0.035172224044799805   0.06845903396606445    0.10776901245117188    
0.08234810829162598  2    0.005448579788208008   0.0768880844116211     0.11929941177368164    
0.08116436004638672  7    0.029369592666625977   0.05178117752075195    0.09415411949157715    
0.10782623291015625  7    0.03900504112243652    0.06880998611450195    0.09625983238220215    
0.10743856430053711  19   0.10537576675415039    0.002053499221801758   0.12284374237060547    
0.10672163963317871  7    0.0363309383392334     0.07037901878356934    0.11932587623596191    
0.10551571846008301  7    0.0367586612701416     0.06874585151672363    0.11906909942626953    
0.11082577705383301  7    0.037364959716796875   0.07344794273376465    0.1194767951965332     
0.1267542839050293   7    0.03779458999633789    0.08894658088684082    0.12742972373962402    
0.12655353546142578  7    0.052225589752197266   0.07431149482727051    0.14352774620056152    
0.09750914573669434  7    0.03861546516418457    0.058881282806396484   0.1430375576019287     
0.09274983406066895  7    0.0372464656829834     0.05548906326293945    0.11487412452697754    
0.10146689414978027  7    0.03625679016113281    0.06519794464111328    0.11091303825378418    
0.0895533561706543   14   0.05487871170043945    0.03466200828552246    0.1178441047668457     
0.08129620552062988  7    0.02798914909362793    0.053293704986572266   0.10455060005187988    
0.09850263595581055  7    0.027950286865234375   0.07053899765014648    0.09475207328796387    
0.09154152870178223  7    0.03658890724182129    0.054938316345214844   0.11327195167541504    
0.09842824935913086  7    0.03414440155029297    0.0642704963684082     0.10649633407592773    
0.1040809154510498   7    0.03593635559082031    0.06813216209411621    0.11279106140136719    
0.10272717475891113  7    0.036163330078125      0.06655192375183105    0.11878204345703125    
0.10603880882263184  7    0.03630328178405762    0.06972122192382812    0.11624288558959961    
0.1190042495727539   7    0.040647029876708984   0.07834339141845703    0.1227114200592041     
0.08884239196777344  7    0.03527355194091797    0.05355691909790039    0.136566162109375      
0.10332107543945312  7    0.03372526168823242    0.06958436965942383    0.10526394844055176    
0.1028437614440918   7    0.03652620315551758    0.06630444526672363    0.11765623092651367    
0.0981743335723877   7    0.028390884399414062   0.06977128982543945    0.11658668518066406    
0.09888434410095215  7    0.03535056114196777    0.0635216236114502     0.11099505424499512    
0.10706639289855957  7    0.03562736511230469    0.0714273452758789     0.11270785331726074    
0.10188889503479004  7    0.03546476364135742    0.06641316413879395    0.12170648574829102    
0.09001731872558594  7    0.029035091400146484   0.06096959114074707    0.11327815055847168    
0.1103672981262207   7    0.0444180965423584     0.06593537330627441    0.10355091094970703    
0.0999758243560791   7    0.028055667877197266   0.07190728187561035    0.12494206428527832    
0.08570647239685059  7    0.02985858917236328    0.05583333969116211    0.11213898658752441    
0.10254406929016113  7    0.040506601333618164   0.06202507019042969    0.09917640686035156    
0.1084604263305664   7    0.03845071792602539    0.0699923038482666     0.11405396461486816    
0.11001038551330566  7    0.03885078430175781    0.07114720344543457    0.1231534481048584     
0.09471940994262695  7    0.028341293334960938   0.06636691093444824    0.12897944450378418    
0.09873747825622559  7    0.03581523895263672    0.06291031837463379    0.11032772064208984    
0.08168387413024902  7    0.029123783111572266   0.05254697799682617    0.11285281181335449    
0.0939786434173584   7    0.029030561447143555   0.06493687629699707    0.0946803092956543     
0.10182046890258789  7    0.03635263442993164    0.06545615196228027    0.10642337799072266    
0.1241903305053711   7    0.0366063117980957     0.0875701904296875     0.11775016784667969    
0.10164380073547363  7    0.037598609924316406   0.06403112411499023    0.13775420188903809    
0.09729647636413574  7    
